age,juv_fel_count,juv_misd_count,juv_other_count,priors_count,is_recid,race_binary,sex_Male,age_cat_Greater than 45,age_cat_Less than 25,race_Caucasian,c_charge_degree_(CT),c_charge_degree_(F1),c_charge_degree_(F2),c_charge_degree_(F3),c_charge_degree_(F5),c_charge_degree_(F6),c_charge_degree_(F7),c_charge_degree_(M1),c_charge_degree_(M2),c_charge_degree_(MO3),c_charge_degree_(NI0),c_charge_degree_(X)
64,0,0,0,13,1,0,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False
21,0,0,0,1,1,0,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
27,0,0,0,0,1,1,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
21,0,0,0,0,0,1,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False
42,0,0,0,1,0,1,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False
43,0,0,0,1,0,1,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False
54,0,0,0,0,0,0,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False
44,0,0,0,8,0,0,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
27,0,0,0,8,1,0,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
36,0,0,0,3,0,1,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False
26,0,0,1,5,1,0,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
33,0,0,0,0,1,0,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
30,0,0,0,9,1,1,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False
32,0,0,0,4,1,0,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
63,0,0,0,0,0,0,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
55,0,0,0,0,0,1,True,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False
32,0,0,0,15,0,0,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
38,0,0,2,5,0,0,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
53,0,0,0,19,0,1,True,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False
26,0,0,2,6,0,1,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False
33,0,0,0,4,1,1,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
24,0,0,0,1,1,1,True,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False
34,2,1,3,21,1,0,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
29,0,0,0,0,0,1,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
21,0,0,0,2,0,0,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False
51,0,0,0,2,0,0,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
29,0,0,0,2,1,1,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
25,0,0,0,0,0,0,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
51,0,0,0,7,0,0,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False
28,0,0,0,8,0,1,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False
36,0,0,0,22,0,0,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
29,0,0,0,0,1,0,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
25,0,0,0,9,1,1,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
35,1,0,4,13,1,0,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
49,0,0,0,0,0,1,True,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False
34,0,0,0,4,1,0,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
29,0,0,0,0,0,0,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
29,0,0,0,1,1,1,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False
51,0,0,0,0,0,1,True,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False
25,0,0,0,0,0,1,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False
48,0,0,0,20,1,1,True,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False
33,0,0,0,1,0,1,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False
30,0,0,1,3,0,0,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
31,0,0,1,15,1,0,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
24,0,0,0,2,1,0,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
27,0,0,0,0,0,0,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
32,0,0,0,3,0,1,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False
49,0,0,0,4,0,0,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
53,0,0,0,8,0,1,True,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False
35,0,0,0,5,0,0,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
63,0,0,0,10,1,0,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
33,0,0,0,2,0,0,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
27,1,1,2,15,1,0,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
38,0,0,0,4,1,1,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
46,3,1,0,9,0,1,True,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False
22,0,0,1,1,1,0,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
34,0,0,0,0,0,1,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
22,0,1,2,2,1,0,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
29,0,0,0,4,1,0,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
27,0,1,0,6,1,0,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
56,0,0,0,0,0,0,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
31,0,0,0,2,0,1,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False
34,0,0,0,0,0,0,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
39,0,0,0,1,0,0,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
24,0,1,0,4,0,0,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False
29,0,0,0,5,1,0,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
27,0,0,1,1,1,1,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False
40,0,0,0,2,0,0,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
51,0,0,0,1,0,0,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False
22,0,0,0,1,1,0,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False
22,0,0,0,0,0,1,True,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False
26,0,0,0,1,1,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
27,0,0,0,1,1,1,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False
59,0,0,0,2,0,0,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False
32,0,0,0,3,0,1,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
32,0,0,0,0,0,0,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
41,0,0,0,1,0,0,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
50,0,0,0,0,0,1,True,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False
30,0,0,0,8,1,0,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
66,0,0,0,0,0,0,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
52,0,0,0,3,0,0,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False
22,0,0,0,3,0,1,True,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False
25,1,6,1,14,1,0,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
22,1,0,0,2,1,0,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
23,0,0,1,2,1,0,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
54,0,0,0,6,0,0,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False
40,0,0,0,4,0,1,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False
25,0,0,0,10,0,0,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
35,0,0,0,1,0,0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
36,0,0,0,9,1,0,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
26,0,0,0,7,1,1,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False
30,0,0,1,6,0,1,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False
25,0,0,0,9,1,1,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False
71,0,0,0,12,0,0,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
34,0,0,0,3,0,0,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
20,0,0,0,0,0,1,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False
39,0,0,0,2,1,1,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False
66,0,0,0,3,0,1,True,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False
54,0,0,0,0,0,1,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False
19,0,0,0,1,1,0,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
24,0,0,0,1,0,0,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False
30,0,0,0,1,0,0,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
39,0,0,0,0,1,1,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False
32,0,0,0,8,0,0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
24,0,1,2,8,1,1,True,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False
30,0,0,0,0,0,1,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False
31,0,0,0,0,0,1,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
39,0,0,0,1,0,1,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False
59,0,0,0,14,1,0,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False
35,0,0,0,7,0,1,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False
43,0,0,0,1,0,1,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False
21,1,0,1,2,0,0,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
21,0,0,0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False
21,0,0,0,3,1,0,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
27,0,0,0,0,0,0,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
20,0,0,0,0,0,0,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
38,0,0,0,5,1,1,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
27,0,0,0,3,0,0,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
34,0,0,0,0,0,1,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False
30,0,0,0,3,0,0,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
33,0,0,0,5,1,0,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
37,0,0,0,3,0,0,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
42,0,0,0,1,1,1,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False
41,0,1,0,10,1,0,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
22,0,0,0,0,1,0,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
33,0,12,2,28,1,0,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
44,0,0,0,0,0,1,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False
31,0,0,0,1,0,0,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
26,0,0,0,9,0,0,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
31,0,0,0,13,1,1,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False
27,0,0,0,3,1,0,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
31,0,0,0,1,0,1,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False
56,0,0,0,8,0,0,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False
52,0,0,0,3,0,1,True,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False
33,0,0,0,19,1,0,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
61,0,0,0,0,0,1,True,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False
64,0,0,0,2,0,1,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False
22,0,0,0,4,1,1,True,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False
42,0,0,0,6,0,1,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False
25,0,0,0,2,0,1,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False
27,0,0,0,0,0,1,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False
30,0,0,0,1,0,1,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False
28,0,0,0,2,0,1,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False
21,0,0,0,1,0,1,True,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False
28,0,0,0,0,1,1,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False
24,0,0,0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False
37,0,0,0,13,0,0,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
22,0,0,0,0,0,0,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False
29,0,1,0,10,1,1,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False
25,0,0,0,0,0,1,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False
44,0,0,0,2,1,1,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
32,0,0,0,3,1,0,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
31,0,0,0,2,1,1,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
27,0,0,0,5,0,0,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
31,0,0,0,1,1,0,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
59,0,0,0,1,1,1,True,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False
28,0,0,0,15,0,0,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
45,0,0,0,4,0,1,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False
23,0,0,0,0,0,1,True,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False
20,1,0,0,1,0,0,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
42,0,0,0,2,0,0,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
43,0,0,0,0,0,1,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
38,1,1,0,9,1,0,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
32,0,0,0,11,1,0,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
33,0,0,0,8,1,0,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
55,0,0,0,4,0,0,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
31,0,0,0,0,1,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
33,0,0,0,7,1,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
27,0,0,0,2,1,0,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
52,0,0,0,0,0,0,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
20,0,0,0,0,0,0,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
26,0,0,0,0,0,1,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False
25,0,0,0,4,0,0,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
61,0,0,0,1,1,0,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False
32,0,0,0,4,1,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
26,0,0,0,2,1,0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
55,0,0,0,3,0,0,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
39,1,0,0,1,0,1,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
30,0,0,0,3,1,1,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False
30,0,0,0,1,0,0,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
48,0,0,0,2,0,1,True,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False
33,0,0,0,0,0,1,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
22,0,0,0,1,0,0,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
46,0,0,0,6,1,1,True,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False
41,0,0,0,5,0,1,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False
49,0,0,0,6,0,1,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False
31,0,0,0,0,0,1,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False
31,0,0,0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
25,0,0,0,1,1,0,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
31,0,0,0,3,0,0,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
21,0,0,0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False
32,0,0,0,5,0,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
62,0,0,0,8,0,0,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False
30,0,0,0,2,0,0,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
37,0,0,0,6,0,1,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False
55,0,0,0,1,0,1,True,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False
28,0,0,0,6,1,0,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
78,0,0,0,1,1,1,True,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False
56,0,0,0,0,0,1,True,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False
38,2,2,1,22,1,0,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
39,0,0,0,3,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
35,0,0,0,0,0,1,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False
22,0,0,0,1,1,0,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
47,0,0,0,23,1,0,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
23,0,0,0,0,1,0,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False
38,0,0,0,2,1,1,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False
66,0,0,0,3,1,0,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
45,0,0,0,8,1,1,True,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False
28,0,0,0,0,0,1,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
32,0,0,0,13,1,0,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
37,0,0,0,2,1,0,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
39,0,0,0,0,1,1,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False
26,0,0,0,9,1,0,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
25,0,0,0,3,0,0,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
45,0,0,0,2,0,1,True,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False
57,0,0,0,7,0,1,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False
23,0,0,0,0,1,0,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
34,0,0,0,2,1,0,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
38,0,0,0,14,0,0,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
23,0,0,0,1,0,0,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False
50,0,0,0,1,0,1,True,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False
37,0,0,0,0,0,1,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False
44,0,0,0,4,0,1,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
35,0,1,0,23,1,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
31,0,0,0,1,0,1,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False
26,0,0,0,2,1,0,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
27,0,0,0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
31,0,0,0,1,0,1,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
28,0,0,0,0,0,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
43,0,0,0,11,1,1,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False
28,0,0,0,7,1,1,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False
38,0,0,0,0,0,0,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
38,0,0,0,2,0,0,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
27,0,0,0,2,0,1,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False
28,0,0,0,1,0,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
21,1,0,0,1,0,0,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
56,0,0,0,7,1,1,True,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False
38,0,0,0,15,0,0,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
28,0,0,0,2,0,0,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
45,0,0,0,3,0,0,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False
61,0,0,0,1,0,1,True,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False
51,0,0,0,0,1,1,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False
51,0,0,0,0,0,1,True,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False
20,0,0,1,0,0,1,True,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False
48,0,0,0,0,0,0,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False
37,0,0,0,4,1,1,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False
30,0,0,0,2,0,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
41,0,0,0,5,0,0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
27,0,0,0,11,1,0,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
37,0,0,0,0,1,0,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
54,0,0,0,11,0,0,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False
23,0,0,0,2,0,0,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False
22,0,0,0,0,0,0,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
26,0,0,0,2,1,0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
23,0,2,0,3,0,0,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
41,0,0,0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
52,0,0,0,0,0,1,True,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False
43,0,0,0,13,1,1,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False
52,0,0,0,0,0,0,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False
28,0,0,0,1,0,1,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False
30,0,0,2,11,1,0,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
28,0,0,0,1,0,1,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False
47,0,0,0,1,0,1,True,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False
34,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
22,0,0,0,0,0,0,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
30,0,0,0,4,0,0,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
31,0,0,0,0,1,1,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False
37,0,0,0,0,1,1,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False
32,0,1,0,14,0,0,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
26,0,1,0,4,0,0,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
53,0,0,0,1,0,1,True,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False
28,0,0,0,25,1,0,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
44,0,0,0,8,1,1,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
25,0,0,0,0,0,0,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
22,0,0,1,1,1,1,True,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False
30,1,0,0,2,0,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
