age,juv_fel_count,juv_misd_count,juv_other_count,priors_count,is_recid,race_binary,age_cat_ordinal,c_charge_degree_ordinal,sex_Male,race_Caucasian
29,0,0,0,0,1,0,1,2,True,False
25,0,0,0,9,1,1,1,1,True,True
35,1,0,4,13,1,0,1,2,True,False
49,0,0,0,0,0,1,2,1,True,True
34,0,0,0,4,1,0,1,1,True,False
29,0,0,0,0,0,0,1,2,True,False
29,0,0,0,1,1,1,1,2,True,True
51,0,0,0,0,0,1,2,2,True,True
25,0,0,0,0,0,1,1,2,True,True
48,0,0,0,20,1,1,2,2,True,True
33,0,0,0,1,0,1,1,2,True,True
30,0,0,1,3,0,0,1,2,True,False
31,0,0,1,15,1,0,1,2,True,False
24,0,0,0,2,1,0,0,2,True,False
27,0,0,0,0,0,0,1,2,True,False
32,0,0,0,3,0,1,1,2,True,True
49,0,0,0,4,0,0,2,1,True,False
53,0,0,0,8,0,1,2,2,True,True
35,0,0,0,5,0,0,1,2,True,False
63,0,0,0,10,1,0,2,1,True,False
33,0,0,0,2,0,0,1,2,True,False
27,1,1,2,15,1,0,1,2,True,False
38,0,0,0,4,1,1,1,1,True,True
46,3,1,0,9,0,1,2,2,True,True
22,0,0,1,1,1,0,0,2,True,False
34,0,0,0,0,0,1,1,1,False,True
22,0,1,2,2,1,0,0,2,True,False
29,0,0,0,4,1,0,1,2,True,False
27,0,1,0,6,1,0,1,2,True,False
56,0,0,0,0,0,0,2,1,False,False
31,0,0,0,2,0,1,1,2,False,True
34,0,0,0,0,0,0,1,2,True,False
39,0,0,0,1,0,0,1,1,True,False
24,0,1,0,4,0,0,0,1,True,False
29,0,0,0,5,1,0,1,2,True,False
27,0,0,1,1,1,1,1,2,True,True
40,0,0,0,2,0,0,1,2,True,False
51,0,0,0,1,0,0,2,2,True,False
22,0,0,0,1,1,0,0,1,True,False
22,0,0,0,0,0,1,0,2,True,True
26,0,0,0,1,1,0,1,2,False,False
27,0,0,0,1,1,1,1,2,True,True
59,0,0,0,2,0,0,2,2,False,False
32,0,0,0,3,0,1,1,1,True,True
32,0,0,0,0,0,0,1,2,True,False
41,0,0,0,1,0,0,1,1,True,False
50,0,0,0,0,0,1,2,1,True,True
30,0,0,0,8,1,0,1,1,True,False
66,0,0,0,0,0,0,2,1,True,False
52,0,0,0,3,0,0,2,2,True,False
22,0,0,0,3,0,1,0,2,True,True
25,1,6,1,14,1,0,1,2,True,False
22,1,0,0,2,1,0,0,2,True,False
23,0,0,1,2,1,0,0,1,True,False
54,0,0,0,6,0,0,2,2,True,False
40,0,0,0,4,0,1,1,2,True,True
25,0,0,0,10,0,0,1,2,True,False
35,0,0,0,1,0,0,1,1,False,False
36,0,0,0,9,1,0,1,2,True,False
26,0,0,0,7,1,1,1,2,True,True
30,0,0,1,6,0,1,1,2,True,True
25,0,0,0,9,1,1,1,2,True,True
71,0,0,0,12,0,0,2,1,True,False
34,0,0,0,3,0,0,1,1,True,False
20,0,0,0,0,0,1,0,2,False,True
39,0,0,0,2,1,1,1,2,True,True
66,0,0,0,3,0,1,2,2,True,True
54,0,0,0,0,0,1,2,1,False,True
19,0,0,0,1,1,0,0,1,True,False
24,0,0,0,1,0,0,0,2,True,False
30,0,0,0,1,0,0,1,2,True,False
39,0,0,0,0,1,1,1,2,False,True
32,0,0,0,8,0,0,1,1,False,False
24,0,1,2,8,1,1,0,2,True,True
30,0,0,0,0,0,1,1,2,True,True
31,0,0,0,0,0,1,1,1,True,True
39,0,0,0,1,0,1,1,2,False,True
59,0,0,0,14,1,0,2,2,True,False
35,0,0,0,7,0,1,1,2,True,True
43,0,0,0,1,0,1,1,2,True,True
21,1,0,1,2,0,0,0,2,True,False
21,0,0,0,0,0,0,0,1,False,False
21,0,0,0,3,1,0,0,2,True,False
27,0,0,0,0,0,0,1,2,True,False
20,0,0,0,0,0,0,0,2,True,False
38,0,0,0,5,1,1,1,1,True,True
27,0,0,0,3,0,0,1,2,True,False
34,0,0,0,0,0,1,1,2,True,True
30,0,0,0,3,0,0,1,2,True,False
33,0,0,0,5,1,0,1,2,True,False
37,0,0,0,3,0,0,1,2,True,False
42,0,0,0,1,1,1,1,2,True,True
41,0,1,0,10,1,0,1,2,True,False
22,0,0,0,0,1,0,0,2,True,False
33,0,12,2,28,1,0,1,2,True,False
44,0,0,0,0,0,1,1,1,True,True
31,0,0,0,1,0,0,1,1,True,False
26,0,0,0,9,0,0,1,2,True,False
31,0,0,0,13,1,1,1,2,True,True
27,0,0,0,3,1,0,1,2,True,False
31,0,0,0,1,0,1,1,2,False,True
56,0,0,0,8,0,0,2,2,True,False
52,0,0,0,3,0,1,2,1,True,True
33,0,0,0,19,1,0,1,2,True,False
61,0,0,0,0,0,1,2,2,True,True
64,0,0,0,2,0,1,2,1,False,True
22,0,0,0,4,1,1,0,2,True,True
42,0,0,0,6,0,1,1,2,True,True
25,0,0,0,2,0,1,1,2,False,True
27,0,0,0,0,0,1,1,2,True,True
30,0,0,0,1,0,1,1,1,True,True
28,0,0,0,2,0,1,1,2,True,True
21,0,0,0,1,0,1,0,2,True,True
28,0,0,0,0,1,1,1,1,True,True
24,0,0,0,0,0,0,0,1,False,False
37,0,0,0,13,0,0,1,2,True,False
22,0,0,0,0,0,0,0,2,True,False
29,0,1,0,10,1,1,1,2,False,True
25,0,0,0,0,0,1,1,2,False,True
44,0,0,0,2,1,1,1,1,True,True
32,0,0,0,3,1,0,1,2,True,False
31,0,0,0,2,1,1,1,1,True,True
27,0,0,0,5,0,0,1,2,True,False
31,0,0,0,1,1,0,1,1,True,False
59,0,0,0,1,1,1,2,2,True,True
28,0,0,0,15,0,0,1,2,True,False
45,0,0,0,4,0,1,2,2,False,True
23,0,0,0,0,0,1,0,1,True,True
20,1,0,0,1,0,0,0,2,False,False
42,0,0,0,2,0,0,1,2,True,False
43,0,0,0,0,0,1,1,1,False,True
38,1,1,0,9,1,0,1,2,True,False
32,0,0,0,11,1,0,1,2,True,False
33,0,0,0,8,1,0,1,1,True,False
55,0,0,0,4,0,0,2,1,True,False
31,0,0,0,0,1,0,1,2,False,False
33,0,0,0,7,1,0,1,2,False,False
27,0,0,0,2,1,0,1,2,True,False
52,0,0,0,0,0,0,2,1,True,False
20,0,0,0,0,0,0,0,2,False,False
26,0,0,0,0,0,1,1,1,False,True
25,0,0,0,4,0,0,1,1,True,False
61,0,0,0,1,1,0,2,2,False,False
32,0,0,0,4,1,0,1,2,False,False
26,0,0,0,2,1,0,1,1,False,False
55,0,0,0,3,0,0,2,1,True,False
39,1,0,0,1,0,1,1,5,True,True
30,0,0,0,3,1,1,1,2,False,True
30,0,0,0,1,0,0,1,2,True,False
48,0,0,0,2,0,1,2,1,True,True
33,0,0,0,0,0,1,1,1,True,True
22,0,0,0,1,0,0,0,2,True,False
46,0,0,0,6,1,1,2,2,True,True
41,0,0,0,5,0,1,1,2,True,True
49,0,0,0,6,0,1,2,2,False,True
31,0,0,0,0,0,1,1,2,True,True
31,0,0,0,0,0,0,1,1,True,False
25,0,0,0,1,1,0,1,1,True,False
31,0,0,0,3,0,0,1,2,True,False
21,0,0,0,0,0,0,0,1,False,False
32,0,0,0,5,0,0,1,2,False,False
62,0,0,0,8,0,0,2,2,True,False
30,0,0,0,2,0,0,1,1,True,False
37,0,0,0,6,0,1,1,2,False,True
55,0,0,0,1,0,1,2,2,True,True
28,0,0,0,6,1,0,1,1,True,False
78,0,0,0,1,1,1,2,1,True,True
56,0,0,0,0,0,1,2,2,True,True
38,2,2,1,22,1,0,1,2,True,False
39,0,0,0,3,0,0,1,1,True,False
35,0,0,0,0,0,1,1,2,True,True
22,0,0,0,1,1,0,0,2,True,False
47,0,0,0,23,1,0,2,1,True,False
23,0,0,0,0,1,0,0,1,True,False
38,0,0,0,2,1,1,1,2,False,True
66,0,0,0,3,1,0,2,2,True,False
45,0,0,0,8,1,1,2,1,True,True
28,0,0,0,0,0,1,1,1,False,True
32,0,0,0,13,1,0,1,2,True,False
37,0,0,0,2,1,0,1,1,True,False
39,0,0,0,0,1,1,1,2,True,True
26,0,0,0,9,1,0,1,2,True,False
25,0,0,0,3,0,0,1,2,True,False
45,0,0,0,2,0,1,2,2,True,True
57,0,0,0,7,0,1,2,2,False,True
23,0,0,0,0,1,0,0,2,True,False
34,0,0,0,2,1,0,1,1,True,False
38,0,0,0,14,0,0,1,2,True,False
23,0,0,0,1,0,0,0,1,False,False
50,0,0,0,1,0,1,2,2,True,True
37,0,0,0,0,0,1,1,1,False,True
44,0,0,0,4,0,1,1,1,True,True
35,0,1,0,23,1,0,1,2,False,False
31,0,0,0,1,0,1,1,2,True,True
26,0,0,0,2,1,0,1,2,True,False
27,0,0,0,0,0,0,1,1,True,False
31,0,0,0,1,0,1,1,1,False,True
28,0,0,0,0,0,0,1,2,False,False
43,0,0,0,11,1,1,1,2,True,True
28,0,0,0,7,1,1,1,2,False,True
38,0,0,0,0,0,0,1,2,True,False
38,0,0,0,2,0,0,1,2,True,False
27,0,0,0,2,0,1,1,1,True,True
28,0,0,0,1,0,0,1,2,False,False
21,1,0,0,1,0,0,0,2,True,False
56,0,0,0,7,1,1,2,2,True,True
38,0,0,0,15,0,0,1,2,True,False
28,0,0,0,2,0,0,1,1,True,False
45,0,0,0,3,0,0,2,2,True,False
61,0,0,0,1,0,1,2,2,True,True
51,0,0,0,0,1,1,2,1,False,True
51,0,0,0,0,0,1,2,1,True,True
20,0,0,1,0,0,1,0,2,True,True
48,0,0,0,0,0,0,2,2,True,False
37,0,0,0,4,1,1,1,2,True,True
30,0,0,0,2,0,0,1,2,False,False
41,0,0,0,5,0,0,1,1,False,False
27,0,0,0,11,1,0,1,2,True,False
37,0,0,0,0,1,0,1,1,True,False
54,0,0,0,11,0,0,2,2,True,False
23,0,0,0,2,0,0,0,2,True,False
22,0,0,0,0,0,0,0,2,True,False
26,0,0,0,2,1,0,1,2,False,False
23,0,2,0,3,0,0,0,2,False,False
41,0,0,0,0,0,0,1,1,True,False
52,0,0,0,0,0,1,2,2,True,True
43,0,0,0,13,1,1,1,2,True,True
52,0,0,0,0,0,0,2,2,True,False
28,0,0,0,1,0,1,1,2,True,True
30,0,0,2,11,1,0,1,1,True,False
28,0,0,0,1,0,1,1,2,True,True
47,0,0,0,1,0,1,2,2,True,True
34,0,0,0,0,0,0,1,1,False,False
22,0,0,0,0,0,0,0,2,True,False
30,0,0,0,4,0,0,1,2,True,False
31,0,0,0,0,1,1,1,2,True,True
37,0,0,0,0,1,1,1,2,True,True
32,0,1,0,14,0,0,1,2,True,False
26,0,1,0,4,0,0,1,1,True,False
53,0,0,0,1,0,1,2,1,True,True
28,0,0,0,25,1,0,1,2,True,False
44,0,0,0,8,1,1,1,1,True,True
25,0,0,0,0,0,0,1,2,True,False
22,0,0,1,1,1,1,0,1,True,True
30,1,0,0,2,0,0,1,2,False,False
20,0,0,0,0,0,0,0,2,False,False
33,0,0,0,0,0,1,1,2,False,True
47,0,0,0,2,0,1,2,2,False,True
36,0,0,0,8,1,1,1,2,True,True
30,0,0,0,4,0,1,1,2,True,True
22,0,0,0,3,1,0,0,1,True,False
24,0,0,0,1,1,1,0,1,False,True
27,0,0,0,3,1,0,1,1,True,False
47,0,0,0,0,0,0,2,1,True,False
23,0,0,4,5,1,1,0,2,False,True
29,0,0,0,1,0,0,1,1,True,False
20,0,0,0,1,1,0,0,2,True,False
30,0,0,0,2,1,0,1,2,True,False
39,0,0,0,1,0,1,1,1,True,True
38,0,0,0,1,0,0,1,1,True,False
27,0,0,0,4,0,0,1,2,True,False
18,2,0,0,2,0,0,0,2,True,False
31,0,0,0,2,1,1,1,1,True,True
37,0,0,0,2,0,0,1,2,False,False
31,0,0,0,0,0,1,1,2,True,True
27,0,0,0,2,0,0,1,2,True,False
46,1,0,0,5,0,0,2,1,True,False
52,0,0,0,0,0,0,2,2,False,False
23,0,0,0,0,1,0,0,2,False,False
20,1,0,0,1,0,0,0,2,True,False
48,0,0,0,0,0,0,2,2,False,False
66,0,0,0,8,1,0,2,2,True,False
25,0,0,0,0,0,1,1,2,True,True
27,0,0,0,0,1,1,1,2,True,True
30,0,0,0,11,1,0,1,2,True,False
22,0,1,1,3,1,0,0,1,True,False
22,0,0,0,1,0,1,0,2,False,True
35,0,0,0,2,0,0,1,2,True,False
32,0,0,0,2,0,1,1,2,True,True
41,0,0,0,2,0,0,1,1,False,False
35,0,0,0,9,0,1,1,2,True,True
43,0,0,0,0,0,0,1,2,True,False
44,0,0,0,24,0,0,1,1,True,False
52,0,0,0,3,1,0,2,2,True,False
43,0,0,0,0,0,0,1,2,True,False
37,0,0,0,0,0,0,1,1,True,False
45,0,0,0,3,0,1,2,2,False,True
23,0,0,0,2,0,0,0,2,True,False
37,0,0,0,3,0,1,1,2,True,True
28,0,0,0,3,1,0,1,1,True,False
70,0,0,0,1,0,1,2,1,True,True
54,0,0,0,6,1,1,2,2,True,True
58,0,0,0,9,0,1,2,1,True,True
46,0,0,0,3,0,1,2,2,True,True
21,0,0,0,0,1,0,0,1,True,False
26,0,0,0,1,1,0,1,1,True,False
34,0,0,0,5,0,1,1,1,True,True
34,0,0,0,0,0,1,1,2,False,True
19,0,0,0,1,1,0,0,2,True,False
34,0,0,0,5,0,0,1,1,True,False
32,0,0,0,3,0,0,1,1,False,False
23,0,0,0,0,1,1,0,2,True,True
34,0,0,0,5,1,0,1,2,True,False
30,0,0,0,2,0,0,1,2,True,False
39,0,0,0,6,1,0,1,2,True,False
33,0,0,0,1,1,1,1,1,True,True
33,0,0,0,0,0,1,1,2,True,True
40,0,0,0,6,0,1,1,1,True,True
58,0,0,0,2,0,1,2,2,True,True
56,0,0,0,13,0,0,2,2,True,False
27,0,0,0,1,0,1,1,2,True,True
21,0,0,0,1,1,0,0,2,True,False
23,0,0,1,4,1,0,0,1,True,False
62,0,0,0,0,0,1,2,2,True,True
27,1,0,1,4,1,0,1,1,True,False
37,0,0,0,5,0,1,1,2,True,True
32,0,0,0,5,0,0,1,2,False,False
33,0,0,0,2,0,0,1,2,False,False
27,0,0,0,0,0,0,1,1,True,False
44,0,0,0,0,1,1,1,1,True,True
28,0,0,0,3,1,1,1,1,True,True
42,0,0,0,0,0,1,1,2,False,True
48,0,0,0,5,0,0,2,2,True,False
27,0,0,0,0,0,0,1,2,True,False
20,0,0,0,0,1,0,0,2,True,False
24,0,0,0,1,0,0,0,2,True,False
31,2,0,0,6,0,1,1,2,True,True
22,0,1,0,2,0,0,0,2,True,False
51,0,0,0,0,0,1,2,1,False,True
56,0,0,0,0,0,1,2,1,True,True
20,0,0,0,0,0,1,0,1,True,True
54,0,0,0,1,0,0,2,2,True,False
29,0,0,0,7,0,0,1,2,True,False
42,0,0,0,0,0,1,1,2,True,True
20,0,0,0,0,1,0,0,2,True,False
53,0,0,0,6,0,1,2,2,True,True
48,0,0,0,8,0,0,2,1,True,False
27,0,0,0,8,0,1,1,2,True,True
24,0,1,0,2,1,0,0,2,True,False
22,0,0,0,0,0,0,0,2,False,False
53,0,0,0,36,1,1,2,2,True,True
36,0,0,0,0,0,1,1,1,True,True
28,0,0,0,2,1,1,1,1,True,True
45,0,0,0,1,0,0,2,2,True,False
36,0,0,0,0,0,0,1,2,False,False
25,0,0,0,2,1,1,1,1,False,True
21,0,0,0,0,1,0,0,2,False,False
36,0,0,0,0,0,1,1,1,True,True
24,0,0,0,0,0,0,0,2,True,False
28,0,0,0,3,1,0,1,2,True,False
29,0,0,0,0,0,0,1,2,True,False
22,0,0,0,2,0,0,0,2,True,False
31,0,0,0,8,0,0,1,2,True,False
38,0,0,0,2,0,0,1,2,True,False
30,0,0,0,0,0,1,1,1,False,True
25,0,0,0,2,0,0,1,2,False,False
37,0,0,0,4,0,0,1,1,True,False
32,0,1,0,12,1,0,1,2,True,False
23,0,0,1,1,0,0,0,2,True,False
47,0,0,0,3,0,0,2,2,True,False
41,0,0,0,6,0,0,1,1,False,False
37,0,0,0,0,0,1,1,2,True,True
19,0,2,0,2,1,0,0,2,True,False
21,0,0,2,0,0,1,0,2,False,True
69,0,0,0,0,0,1,2,1,True,True
36,0,0,0,3,0,1,1,2,True,True
21,0,0,0,2,0,1,0,2,True,True
26,0,0,1,6,1,0,1,1,True,False
22,0,0,0,0,0,1,0,2,True,True
23,0,0,0,0,1,0,0,2,False,False
20,1,0,0,1,0,0,0,2,True,False
28,0,0,0,0,0,1,1,2,True,True
45,0,0,0,0,0,1,2,1,True,True
49,0,0,0,3,0,0,2,2,True,False
29,0,0,1,2,1,0,1,1,True,False
60,0,0,0,0,0,1,2,1,False,True
23,2,0,0,3,1,0,0,2,True,False
30,0,0,0,0,0,1,1,1,True,True
21,0,1,0,1,1,0,0,2,True,False
34,1,0,0,11,0,0,1,1,True,False
25,0,0,0,7,0,0,1,2,True,False
22,0,0,0,2,1,1,0,1,True,True
57,0,0,0,18,0,0,2,2,True,False
29,0,0,0,2,0,1,1,1,True,True
36,0,0,0,1,0,0,1,2,True,False
29,0,1,0,7,0,0,1,1,True,False
21,0,0,0,4,1,0,0,2,True,False
21,0,0,0,0,1,0,0,2,True,False
37,0,0,0,1,0,0,1,2,True,False
33,0,0,0,3,0,1,1,2,True,True
34,0,0,0,1,0,1,1,1,True,True
27,0,0,0,0,0,1,1,1,True,True
50,0,0,0,1,1,1,2,1,False,True
26,0,0,0,1,0,0,1,2,True,False
40,0,0,0,0,1,1,1,2,True,True
25,0,0,0,7,1,0,1,2,True,False
53,0,0,0,1,0,1,2,1,False,True
24,0,0,0,0,0,0,0,2,False,False
39,0,0,0,2,0,1,1,1,True,True
42,0,0,0,1,0,0,1,2,True,False
28,0,0,0,1,0,0,1,1,True,False
24,0,0,0,1,0,1,0,1,True,True
26,1,1,0,6,1,0,1,2,True,False
42,0,0,0,3,0,0,1,1,True,False
22,0,0,1,1,0,1,0,1,True,True
22,0,0,0,4,1,0,0,2,True,False
21,0,0,0,3,0,1,0,1,True,True
37,0,0,0,23,1,0,1,2,True,False
44,0,0,0,0,0,1,1,1,True,True
64,0,0,0,13,0,1,2,2,True,True
35,0,0,0,2,0,0,1,2,True,False
36,0,0,0,8,0,0,1,2,True,False
53,0,0,0,2,0,0,2,2,True,False
60,0,0,0,1,0,0,2,2,True,False
29,0,0,0,7,1,0,1,2,True,False
44,0,0,0,2,0,0,1,1,False,False
48,1,0,0,23,1,1,2,2,True,True
23,0,0,0,0,0,0,0,2,True,False
52,0,0,0,0,0,1,2,1,False,True
44,0,0,0,7,0,0,1,1,True,False
27,0,0,0,12,1,0,1,2,True,False
28,0,0,0,5,1,0,1,2,True,False
33,0,0,0,3,0,1,1,1,True,True
47,0,0,0,5,1,1,2,2,True,True
36,0,0,0,14,1,0,1,2,True,False
29,1,0,0,2,0,0,1,2,True,False
22,0,0,1,0,1,0,0,1,True,False
26,0,0,2,6,0,0,1,2,True,False
40,0,0,0,0,0,1,1,1,True,True
65,0,0,0,0,0,1,2,1,True,True
25,0,0,0,0,0,1,1,2,True,True
68,0,0,0,2,0,1,2,2,True,True
32,0,0,0,1,0,1,1,2,False,True
56,0,0,0,5,0,0,2,2,True,False
27,0,0,0,9,1,0,1,2,True,False
52,0,0,0,4,1,1,2,2,True,True
31,0,0,0,0,0,0,1,2,False,False
32,0,0,0,3,0,0,1,2,True,False
35,0,6,3,29,0,0,1,2,True,False
31,0,0,0,4,0,0,1,2,True,False
51,0,0,0,3,0,1,2,0,True,True
39,0,0,0,0,0,1,1,1,False,True
22,0,0,0,0,0,0,0,2,False,False
27,0,0,0,1,1,0,1,2,False,False
47,0,0,0,1,0,1,2,2,False,True
53,0,0,0,11,0,0,2,2,True,False
25,0,0,0,0,1,1,1,1,True,True
22,0,0,0,0,0,1,0,2,True,True
59,0,0,0,0,0,1,2,2,False,True
58,0,0,0,2,0,1,2,1,False,True
53,0,0,0,4,0,0,2,2,True,False
31,0,0,0,7,1,0,1,1,True,False
22,0,0,0,2,0,0,0,2,True,False
22,0,0,0,1,1,1,0,2,True,True
28,0,0,0,8,1,0,1,2,True,False
20,0,0,0,0,1,0,0,2,True,False
29,0,0,0,0,1,1,1,1,True,True
41,0,0,0,0,0,1,1,1,False,True
29,0,0,0,8,0,0,1,2,True,False
58,0,0,0,21,1,0,2,1,True,False
22,0,0,0,3,0,0,0,2,True,False
37,0,0,0,0,0,1,1,2,True,True
57,0,0,0,1,1,0,2,2,True,False
27,0,0,0,3,0,1,1,1,True,True
26,0,0,0,3,0,0,1,2,True,False
24,0,1,1,3,1,1,0,2,True,True
33,0,0,0,0,0,1,1,2,True,True
28,0,0,0,1,0,1,1,2,True,True
29,0,0,0,2,0,0,1,2,True,False
24,0,0,0,3,1,0,0,2,False,False
24,0,0,0,0,0,1,0,1,True,True
19,0,0,1,1,1,1,0,2,True,True
36,0,0,0,2,0,1,1,1,True,True
24,0,0,0,0,0,1,0,2,False,True
32,0,0,0,0,0,1,1,1,True,True
34,0,0,0,0,0,1,1,1,True,True
31,0,0,0,1,0,0,1,2,True,False
24,0,0,0,4,0,0,0,2,True,False
20,1,0,1,1,1,0,0,2,True,False
22,0,0,0,1,0,0,0,2,True,False
24,0,0,0,1,1,0,0,1,True,False
61,0,0,0,4,0,1,2,2,True,True
34,0,0,0,9,0,1,1,2,True,True
27,0,0,0,1,0,1,1,2,False,True
50,0,0,0,3,0,0,2,2,False,False
30,0,0,0,1,0,0,1,1,True,False
38,0,0,0,5,0,0,1,2,True,False
27,1,0,0,2,0,0,1,2,True,False
45,0,0,0,16,0,0,2,2,True,False
46,0,0,0,2,1,0,2,2,False,False
41,0,0,0,0,1,1,1,1,True,True
27,0,0,0,13,1,0,1,1,True,False
51,0,0,0,16,0,0,2,2,False,False
26,0,0,0,1,1,0,1,1,True,False
29,0,0,0,3,1,0,1,2,True,False
52,0,0,0,6,1,1,2,2,True,True
28,0,0,0,1,1,1,1,2,True,True
55,0,0,0,5,1,0,2,2,True,False
46,0,0,0,2,0,1,2,1,True,True
59,0,0,0,0,0,1,2,1,True,True
26,1,1,0,10,1,0,1,2,True,False
28,0,0,0,5,0,0,1,2,True,False
63,0,0,0,2,0,1,2,2,True,True
42,0,0,0,0,0,0,1,2,True,False
21,0,0,0,1,0,0,0,2,True,False
57,0,0,0,2,0,0,2,2,True,False
23,1,2,2,6,1,0,0,2,True,False
54,0,0,0,28,1,0,2,2,True,False
35,0,0,1,8,1,0,1,2,True,False
42,0,0,0,1,0,1,1,2,True,True
24,1,0,0,6,1,0,0,2,False,False
54,0,0,0,2,0,0,2,1,True,False
58,0,0,0,12,1,0,2,1,True,False
23,0,0,1,1,1,1,0,1,True,True
35,0,0,0,1,0,0,1,1,True,False
53,0,0,0,17,0,0,2,2,True,False
20,0,0,0,1,1,0,0,2,True,False
24,0,0,0,1,0,0,0,2,True,False
51,0,0,0,0,0,1,2,2,True,True
37,0,0,0,3,0,1,1,2,True,True
46,0,0,0,0,0,0,2,2,False,False
47,0,0,0,3,0,1,2,2,True,True
44,0,0,0,3,0,0,1,2,True,False
34,0,0,0,4,1,1,1,2,True,True
59,0,0,0,1,1,1,2,2,True,True
35,0,0,0,0,0,0,1,2,True,False
29,0,0,0,1,0,1,1,2,True,True
30,0,0,0,4,0,0,1,1,True,False
24,0,0,1,6,1,1,0,2,False,True
21,0,0,4,2,1,1,0,1,True,True
26,0,0,0,2,0,0,1,1,True,False
33,0,0,0,0,0,1,1,2,True,True
26,0,0,0,1,0,0,1,2,True,False
49,2,0,1,18,0,0,2,2,True,False
30,0,0,0,0,0,1,1,1,False,True
31,1,0,0,6,0,0,1,2,True,False
60,0,0,0,5,0,1,2,1,False,True
29,0,0,0,6,1,1,1,2,True,True
29,0,0,0,0,1,1,1,1,True,True
54,0,0,0,0,0,0,2,1,True,False
29,0,0,0,4,1,0,1,2,True,False
29,0,0,0,12,0,0,1,2,True,False
59,0,0,0,0,0,1,2,1,False,True
38,0,0,0,0,0,0,1,2,True,False
29,0,0,0,4,1,0,1,2,True,False
27,0,0,0,1,1,1,1,1,True,True
66,0,0,0,33,1,0,2,2,True,False
22,0,0,0,0,0,0,0,2,True,False
27,0,0,0,2,0,1,1,2,True,True
51,0,0,0,1,0,1,2,1,True,True
35,0,0,0,1,0,1,1,2,True,True
71,0,0,0,2,0,1,2,1,True,True
36,0,0,0,0,0,0,1,1,True,False
26,0,0,0,1,0,0,1,2,True,False
52,0,0,0,4,0,1,2,1,True,True
39,0,0,0,4,0,1,1,2,True,True
30,0,0,0,1,0,1,1,2,True,True
35,0,0,0,12,0,0,1,1,False,False
25,2,0,1,2,0,0,1,2,True,False
55,0,0,0,1,0,0,2,2,True,False
34,0,0,0,4,0,1,1,2,False,True
26,0,0,0,0,0,0,1,1,False,False
48,0,0,0,0,0,1,2,1,False,True
33,0,0,0,2,0,0,1,1,True,False
34,0,0,0,6,0,0,1,2,False,False
22,0,0,0,1,0,0,0,2,False,False
59,0,0,0,10,1,0,2,2,True,False
29,0,0,0,5,1,0,1,2,True,False
24,0,0,0,0,0,1,0,2,True,True
58,0,0,0,0,0,1,2,2,True,True
48,0,0,0,1,1,1,2,2,True,True
54,0,0,0,2,0,1,2,2,False,True
55,0,0,0,0,1,0,2,1,True,False
30,0,0,1,0,0,0,1,1,True,False
24,0,0,0,3,0,1,0,2,True,True
52,0,0,0,4,0,0,2,1,True,False
20,0,0,0,0,1,0,0,2,True,False
25,0,0,0,4,1,1,1,2,True,True
24,0,0,0,0,0,1,0,2,True,True
23,0,0,0,0,0,1,0,1,True,True
